knowledge,issue_category,reference_url,knowledge_type
アポストロフィは単語の複数形形成には不要であること,['文法'],19900017394-ページ-57.pdf (Page 1),PDF文書
アポストロフィは省略形の文字の省略を示すために使用すること,['文法'],19900017394-ページ-57.pdf (Page 1),PDF文書
正式な論文では省略形の使用は稀であるためアポストロフィの使用も稀であることが望ましい,['文法'],19900017394-ページ-57.pdf (Page 1),PDF文書
括弧は引用文中の編集挿入、訂正、コメントを囲むために使用すること,['形式'],19900017394-ページ-57.pdf (Page 1),PDF文書
括弧内にさらに括弧を入れる場合、混乱を避けるために角括弧を使用することを推奨しないこと,['形式'],19900017394-ページ-57.pdf (Page 1),PDF文書
コロンはリスト、節、引用文の導入や区切りに使用すること,['形式'],19900017394-ページ-57.pdf (Page 1),PDF文書
コロンは文をほぼ停止させる強い区切りであるため、導入コロンは原則として完全な文の後に使用すること,['形式'],19900017394-ページ-57.pdf (Page 1),PDF文書
動詞や前置詞とその直接目的語の間にコロンを使用してはならないこと,"['文法', '形式']",19900017394-ページ-57.pdf (Page 1),PDF文書
参考文献は著者名と出版年を明記すること,['形式'],19900017394-ページ-104.pdf (Page 1),PDF文書
参考文献リストはアルファベット順に整列すること,['形式'],19900017394-ページ-104.pdf (Page 1),PDF文書
参考文献の書誌情報は完全かつ正確に記載すること（著者名、書名、版、出版社、発行年など）,['形式'],19900017394-ページ-104.pdf (Page 1),PDF文書
タイトルは米国の大文字ルールに従うこと,['形式'],19900017394-ページ-105.pdf (Page 1),PDF文書
永続的な前置詞句の複合名詞はハイフンでつなぐこと,['形式'],19900017394-ページ-75.pdf (Page 1),PDF文書
その他の永続的な複合名詞は一語として綴ること,['形式'],19900017394-ページ-75.pdf (Page 1),PDF文書
辞書を参照して複合名詞のハイフンの有無と綴りを確認すること,['形式'],19900017394-ページ-75.pdf (Page 1),PDF文書
複数の名詞を組み合わせて一つの実体を表す一時的な複合名詞はハイフンでつなぐこと,['形式'],19900017394-ページ-75.pdf (Page 1),PDF文書
名詞形から派生した能動態の複合動詞はハイフンでつなぐこと,['形式'],19900017394-ページ-75.pdf (Page 1),PDF文書
受動態の複合動詞はハイフンでつなぐ必要はないこと,['形式'],19900017394-ページ-75.pdf (Page 1),PDF文書
単位修飾語は曖昧さを避ける場合のみハイフンでつなぐことが推奨されること,['形式'],19900017394-ページ-75.pdf (Page 1),PDF文書
述語形容詞の場合は単位修飾語をハイフンでつなぐべきでないこと,['形式'],19900017394-ページ-75.pdf (Page 1),PDF文書
辞書でハイフンが付く形容詞は述語形容詞としてもハイフンを付けること,['形式'],19900017394-ページ-75.pdf (Page 1),PDF文書
固有名詞の人種・部族名は大文字で始めること,['段落構成'],19900017394-ページ-103.pdf (Page 1),PDF文書
商標名は形容詞としてのみ使用し、所有者を明記することが推奨されること,"['文法', '単語']",19900017394-ページ-103.pdf (Page 1),PDF文書
研究ミッション、プログラム、宇宙船などの公式名称は大文字で表記すること,"['段落構成', '単語']",19900017394-ページ-103.pdf (Page 1),PDF文書
一般的な意味での用語（例：space shuttle、space station）は小文字で表記すること,['単語'],19900017394-ページ-103.pdf (Page 1),PDF文書
比較級は二者間の比較に使用すること,['文法'],19900017394-ページ-49.pdf (Page 1),PDF文書
最上級は三者以上の比較に使用すること,['文法'],19900017394-ページ-49.pdf (Page 1),PDF文書
比較級でクラスと比較する場合は必ずotherまたはelseを用いること,['文法'],19900017394-ページ-49.pdf (Page 1),PDF文書
最上級でクラスと比較する場合はallを用いること,['文法'],19900017394-ページ-49.pdf (Page 1),PDF文書
比較文において不完全な比較は意味の曖昧さを生じさせるため避けること,['文法'],19900017394-ページ-49.pdf (Page 1),PDF文書
比較文は必要な語句を省略せず、意味が明確になるように記述すること,['文法'],19900017394-ページ-49.pdf (Page 1),PDF文書
長く複雑な等位節はセミコロンで区切ること,"['文法', '形式']",19900017394-ページ-87.pdf (Page 1),PDF文書
等位接続詞で結ばれた節が長く内部にコンマを含む場合はセミコロンで区切ること,"['文法', '形式']",19900017394-ページ-87.pdf (Page 1),PDF文書
"接続副詞（however, thus, therefore, hence）の前にはセミコロンまたはピリオドを置くこと","['文法', '形式']",19900017394-ページ-87.pdf (Page 1),PDF文書
セミコロンはコンマよりも区切りが強く、文の流れを遅くする効果があること,"['文法', '形式']",19900017394-ページ-87.pdf (Page 1),PDF文書
対比を示す節の間にはセミコロンを用いることが効果的であること,"['文法', '形式']",19900017394-ページ-87.pdf (Page 1),PDF文書
